osm_id;nombre;operador;voltaje;latitud;longitud
274822934;;;;38,4761882;-0,7818057
276368354;;;;38,4783866;-0,7712245
277119989;;;;38,4818469;-0,7684122
278355891;;;;38,4692797;-0,7747395
280015243;;;;38,4661731;-0,7745534
280015244;;;;38,472876;-0,7702233
280015245;;;;38,4707231;-0,7722335
280015246;;;;38,4695135;-0,7666415
280159280;Subestación Yecla;Iberdrola;"132000;20000";38,6167142;-1,0847909
290064982;ST Nou Moles;"REE;Iberdrola";"220000;20000";39,4714225;-0,3943206
294535871;ST Los Cantos;;"66000;20000";40,1184926;-0,6088768
296949529;;;;38,1911879;-0,5878403
297520664;Contreras;Iberdrola;132000;39,5406003;-1,503337
299287342;Subestación de Gandia;i-DE;"220000;132000";38,9824395;-0,1852581
299349355;;;;40,7247323;0,7005975
299423283;;;;40,7231576;0,7289127
299424105;;;;40,7214286;0,7320529
302990756;;;;38,8155801;0,0209902
303029331;;;;38,9577237;-0,9016627
303332167;SET Barxell;Iberdrola;"132000;20000";38,6820061;-0,4937824
303721390;;;;38,794894;-0,0079626
306242306;;;;39,840505;-0,4751909
308038879;SET Benidorm;Iberdrola;"132000;66000;20000";38,5331728;-0,169595
310668392;;Iberdrola;;39,5852642;-0,5413089
311039029;;;;38,8406898;-0,5206146
311171004;;;;38,8387678;-0,515766
317510027;;;;37,9407642;-1,1700453
318256620;SET Alcanar;e-Distribución Redes Digitales;"110000;25000";40,5619066;0,5148119
318256628;SET Amposta;Endesa;"110000;25000";40,7085185;0,5612147
318256629;SET Cemex;;66000;40,5771292;0,5448979
318256630;;;;40,4775105;0,4685105
319272158;;;;40,558807;0,368457
319272159;;;;40,518277;0,3137099
322259605;;;;38,8343923;0,1102369
324616949;;;;38,529763;-0,7465358
332907972;SET PLATEA;Endesa;"132000;20000";40,3760657;-1,1605736
333368504;;;;38,4923852;-0,7852413
333598072;SET Teruel;Endesa;"132000;45000;20000;10000";40,3541506;-1,1027264
333598088;SET Santa Eulalia;Endesa;"132000;20000";40,5549724;-1,3328574
333598089;SET Venta del Aire;Endesa;"132000;20000";40,1285675;-0,7335563
333598094;SET Aliaga;Endesa;"132000;45000;20000";40,6856378;-0,6786039
334039158;;;;40,3983657;-1,498013
343867768;Alcudia;Iberdrola;"132000;66000;20000";38,9669434;-0,6107023
347920962;Subestación Santomera;Iberdrola Distribución Eléctrica;"66000;20000";38,0854111;-1,0568626
353639314;SET Teulada;;"132000;20000";38,7373645;0,0944632
370315035;F. Higuera;Iberdrola;66000;38,8233735;-0,8947512
