osm_id;nombre;operador;voltaje;latitud;longitud;lat;lon;tipo_activo;tipo_apoyo;nivel_peligrosidad_patricova;dentro_zona_inundable;peligrosidad_ordinal;distancia_zona_inundable_m;provincia;velocidad_viento_ms;densidad_apoyos_5km;cluster
231695159;Subestación Elda - Renfe;;66000;38,4839635;-0,8013931;38.4839635;-0.8013931;subestacion;;;False;0;243.8;Alicante;4.421;111;8
234787100;CT2;;;38,7493629;-0,5521514;38.7493629;-0.5521514;subestacion;;;False;0;2627.0;Valencia;3.891;28;8
245007624;;;;38,8306836;0,0655944;38.8306836;0.0655944;subestacion;;;False;0;1778.5;Alicante;4.529;209;7
251218310;;;;39,940382;-1,0637758;39.940382;-1.0637758;subestacion;;;False;0;5185.3;Valencia;3.849;0;5
253240032;Subestación La Yesa;;132000;39,9229676;-0,9410349;39.9229676;-0.9410349;subestacion;;;False;0;3537.8;Valencia;4.922;46;5
256017783;SET Vergel;Iberdrola;"132000;66000;20000";38,8504374;0,003847;38.8504374;0.003847;subestacion;;6.0;True;1;0.0;Alicante;4.455;177;7
261594435;Subestación de Valldigna;"Red Eléctrica de España;Iberdrola";"220000;20000";39,0609302;-0,279152;39.0609302;-0.279152;subestacion;;5.0;True;2;0.0;Valencia;3.225;94;6
263943736;SET Castello de Rugat;;"66000;20000";38,8680739;-0,391457;38.8680739;-0.391457;subestacion;;;False;0;1561.1;Valencia;3.1;44;6
265408693;Cortes II;Iberdrola;400000;39,2627061;-0,9190459;39.2627061;-0.9190459;subestacion;;;False;0;5924.9;Valencia;3.009;267;5
267063580;;;;38,3462931;-0,7683775;38.3462931;-0.7683775;subestacion;;;False;0;187.3;Alicante;4.921;21;8
272047820;;Iberdrola;132000;38,9974711;-0,5796466;38.9974711;-0.5796466;subestacion;;;False;0;2115.6;Valencia;3.16;150;6
272395304;SET Jávea;Iberdrola;"132000;20000";38,7783661;0,1303361;38.7783661;0.1303361;subestacion;;;False;0;143.9;Alicante;5.14;61;7
274822934;;;;38,4761882;-0,7818057;38.4761882;-0.7818057;subestacion;;;False;0;218.9;Alicante;4.45;123;8
276368354;;;;38,4783866;-0,7712245;38.4783866;-0.7712245;subestacion;;;False;0;442.5;Alicante;4.498;120;8
277119989;;;;38,4818469;-0,7684122;38.4818469;-0.7684122;subestacion;;;False;0;388.7;Alicante;4.505;119;8
278355891;;;;38,4692797;-0,7747395;38.4692797;-0.7747395;subestacion;;;False;0;384.9;Alicante;4.579;113;8
280015243;;;;38,4661731;-0,7745534;38.4661731;-0.7745534;subestacion;;;False;0;723.6;Alicante;4.738;111;8
280015244;;;;38,472876;-0,7702233;38.472876;-0.7702233;subestacion;;;False;0;130.8;Alicante;4.597;114;8
280015245;;;;38,4707231;-0,7722335;38.4707231;-0.7722335;subestacion;;;False;0;249.0;Alicante;4.536;114;8
280015246;;;;38,4695135;-0,7666415;38.4695135;-0.7666415;subestacion;;;False;0;592.8;Alicante;4.78;110;8
290064982;ST Nou Moles;"REE;Iberdrola";"220000;20000";39,4714225;-0,3943206;39.4714225;-0.3943206;subestacion;;;False;0;433.9;Valencia;3.783;410;6
294535871;ST Los Cantos;;"66000;20000";40,1184926;-0,6088768;40.1184926;-0.6088768;subestacion;;;False;0;4949.6;Castellón;2.318;92;1
