osm_id;tipo_apoyo;nombre;operador;voltaje;latitud;longitud
1411533985;tower;;;;39,8888779;-0,1482173
1411533986;tower;;;;39,8908638;-0,1455135
1411533987;tower;;;;39,8930012;-0,1426128
1411533988;tower;;;;39,8949167;-0,1400181
1411533989;tower;;;;39,8971831;-0,136945
1411533990;tower;;;;39,8991698;-0,134229
1411533992;tower;;;;39,9011811;-0,1314851
1411533993;tower;;;;39,9031778;-0,1287899
1411533994;tower;;;;39,9051189;-0,126146
1411533999;tower;;;;39,90717;-0,123369
1411534001;tower;;;;39,9090659;-0,1207826
1411534003;tower;;;;39,9109517;-0,1182378
1411534006;tower;;;;39,9129955;-0,1154444
1411534008;tower;;;;39,91507;-0,1126302
1411534009;tower;;;;39,9170269;-0,1102032
1411534019;tower;;;;39,9193146;-0,1073059
1411534023;tower;;;;39,9210581;-0,1051774
1411534026;tower;;;;39,9235697;-0,1020636
1411534027;tower;;;;39,9251701;-0,1000842
1411534029;tower;;;;39,9262439;-0,0970605
1411534030;tower;;;;39,9279566;-0,0951006
1411534033;tower;;;;39,9308618;-0,0927931
1411534035;tower;;;;39,9339723;-0,0903226
1411534037;tower;;;;39,9361663;-0,0881263
1411534041;tower;;;;39,9384863;-0,0858042
1411534042;tower;;;;39,9407841;-0,0834646
1411534043;tower;;;;39,9431235;-0,0811293
1411534045;tower;;;;39,9448738;-0,079679
1411534049;tower;;;;39,9452411;-0,0791346
1411534051;tower;;;;39,9460312;-0,0784148
1411534056;tower;;;;39,9464369;-0,0783794
1411534057;tower;;;;39,9472237;-0,0803124
1411534058;tower;;;;39,9483794;-0,0809998
1411534059;tower;;;;39,9485645;-0,0766091
1411534062;tower;;;;39,9501322;-0,0820327
1411534064;tower;;;;39,9506257;-0,0749069
1411534069;tower;;;;39,9514595;-0,0733866
1411534071;tower;;;;39,9518533;-0,084223
1411534072;tower;;;;39,952994;-0,0864694
1411534074;tower;;;;39,9532932;-0,0689041
1411534078;tower;;;;39,9547746;-0,0664142
1411534081;tower;;;;39,9555018;-0,0886686
1411534084;tower;;;;39,9560219;-0,0643759
1411534087;tower;;;;39,9561028;-0,0642535
1411534089;tower;;;;39,9566321;-0,0633003
1411534091;tower;;;;39,9572287;-0,0010496
1411534094;tower;;;;39,9572575;-0,0421562
1411534096;tower;;;;39,957302;-0,046405
1411534099;tower;;;;39,9573937;-0,0008854
